"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Consumer Electronic Instrument Search and Seizure at International Borders: New Laws Allow Border Agents to Demand Passwords for Digital Devices","K. Michael; R. Monteleone","School for the Future of Innovation in Society and the School of Computing, Informatics, and Decision Systems Engineering, Arizona State University; School for the Future of Innovation in Society, Arizona State University",IEEE Consumer Electronics Magazine,"5 Feb 2019","2019","8","2","90","93","Australia and New Zealand have enacted new laws in 2018 that give border agents the right to demand that travelers entering these countries hand over passwords for their digital devices. This most recent development contributes to a global trend toward the unwarranted search and seizure of devices, raising critical questions about individual privacy, data management, consent, and surveillance.","2162-2256","","10.1109/MCE.2018.2880851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8634996","","Password;Cellular phones;Airports;Portable computers;Law enforcement;Consumer electronics;Terrorism","","","","15","IEEE","5 Feb 2019","","","IEEE","IEEE Magazines"
"On The Development of a Legal Penalty Prediction System for Drunk Driving Cases","M. -L. Wu; C. Lin; P. -C. Yu","Department of Computer Science and Information Engineering, Tamkang University, New Taipei City, Taiwan, R.O.C.; Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan, R.O.C.; Department of Computer Science and Information Engineering, Tamkang University, New Taipei City, Taiwan, R.O.C.",2022 International Conference on Machine Learning and Cybernetics (ICMLC),"11 Nov 2022","2022","","","124","129","Recent years, computer-aided penalty prediction have been promoted to gain people's trust to the judicial systems, especially in developing Chinese region. In this paper, we propose machine learning based models to predict the legal penalty of criminal cases. Particularly, we focus on drunk driving cases as they are frequent, and the regulations are clear. Unlike western text which words are separated by spaces, words in Chinese text are continuum. In our proposed method, we first use a word segmentation method to separate the Chinese words in text and apply a pre-trained model to convert words into vectors. In the vector space, words with similar meanings have short distance with each other. As the amount of each penalty varies greatly, resulting a data imbalance problem. Therefore, we adapt the Synthetic Minority Oversampling Technique (SMOTE) algorithm as a solution. Finally, we apply deep learning-based models, including Bi-GRU and TextCNN to perform penalty prediction, and compare their advantages and disadvantages.In the experimental result, for drunk driving case penalty prediction, our propose SMOTE + TextCNN solution can reach 73.96% of accuracy. If we allow the prediction to be plus or minus one month from the actual, the accuracy is 95.60%. As for the computation time, our proposed method can predict the penalty of 1,524 drunk driving cases per second.","2160-1348","978-1-6654-8832-7","10.1109/ICMLC56445.2022.9941286","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9941286","Natural language processing;Legal penalty prediction;Oversampling;Deep learning;Convolutional neural network;Attention mechanism;Bidirectional gated recurrent unit","Adaptation models;Law;Computational modeling;Natural languages;Machine learning;Predictive models;Logic gates","","","","11","IEEE","11 Nov 2022","","","IEEE","IEEE Conferences"
"Design Institute's Knowledge Sharing System Preliminary Study","C. Tang; M. Wang","Central South University, Changsha, China; Central South University, Changsha, China",2009 Second International Symposium on Knowledge Acquisition and Modeling,"28 Dec 2009","2009","1","","391","394","Knowledge became the most important strategic resources in the times of Knowledge-based economy and knowledge management is the sources of sustainable development for enterprise. Knowledge management aims to implement knowledge sharing. However, how to implement knowledge sharing is the hardest challenge in knowledge management. Based on the expatiation of knowledge's characteristics and ""prisoner's dilemma"" for knowledge sharing of design institute, this paper points out the difficulties of knowledge sharing and present the approaches to construct and consummate the mechanism of design institute's knowledge sharing.","","978-0-7695-3888-4","10.1109/KAM.2009.113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5362147","knowledge sharing;knowledge management;prisoner's dilemma","Knowledge management;Technological innovation;Sustainable development;Production;Innovation management;Resource management;Acceleration;Monopoly;Knowledge acquisition;Chaos","","","","5","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
"Leveraging Immersive Reality and LLMs for Social Reintegration: AI-Driven Skill Development in Correctional Rehabilitation","E. A. Masasi De Oliveira; L. M. De Freitas Cintra; G. H. Webster Barbosa; R. T. Sousa; A. R. Galvão Filho","Advanced Knowledge Center in Immersive Technology, AKCIT, Goiânia, Brazil; Advanced Knowledge Center in Immersive Technology, AKCIT, Goiânia, Brazil; Advanced Knowledge Center in Immersive Technology, AKCIT, Recife, Brazil; Advanced Knowledge Center in Immersive Technology, AKCIT, Federal University of Mato Grosso, Barra do Garças, Brazil; Advanced Knowledge Center in Immersive Technology, AKCIT, Goiânia, Brazil",2025 IEEE International Conference on Artificial Intelligence and eXtended and Virtual Reality (AIxVR),"26 Feb 2025","2025","","","257","260","This paper explores the use of immersive technolo-gies and AI-driven virtual interactions to aid the social reintegration of incarcerated individuals. By integrating a ChatGPT-based AI within a virtual reality framework, the developed application offers interactive, realistic simulations aimed at fostering essential skills, such as effective communication and vocational abilities. Users interact with a lifelike avatar, designed to simulate scenarios like job interviews and interpersonal dialogues, promoting empathy, self-confidence, and behavioral adaptability. Initial assessments indicate that the application effectively supports engaging and empathetic interactions, which are crucial for preparing individuals for reintegration into society. The application will be open-access, allowing further refinement and adaptability by experts and developers, ultimately aiming to reduce recidivism and support a more humane approach to correctional rehabilitation through technological advancement.","2771-7453","979-8-3315-2157-8","10.1109/AIxVR63409.2025.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10896122","Social Reintegration;Large Language Models;Artificial Intelligence;Immersive Technology;AI-Driven Avatars","Solid modeling;Adaptation models;Avatars;Artificial intelligence;Interviews","","","","10","IEEE","26 Feb 2025","","","IEEE","IEEE Conferences"
"Discussion on role of credibility failure punishment cost in game between the government and the public—Model analysis based on Prisoner Dilemma","Caoqian; Chen Jingliang","Department of Administration Management, University of Shanghai For Science and Technology, Shanghai, China; Department of Administration Management, University of Shanghai For Science and Technology, Shanghai, China",The 2nd International Conference on Information Science and Engineering,"17 Jan 2011","2010","","","2771","2775","Based on classical case of game theory—Prisoner Dilemma, this article discussed the game result between government and the public with and without credibility failure punishment cost respectively. The research showed that, credibility failure punishment cost offered us a possibility to resolve the problem of prisoner dilemma, or once the credibility failure punishment cost reaches certain level; both sides of the game would tend to choose cooperation. Meanwhile, the author made explorations on perspectives of morality, regulation and law accordingly.","2160-1291","978-1-4244-7618-3","10.1109/ICISE.2010.5690527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5690527","prisoner dilemma;game;credibility failure punishment cost","Government;Games;Law;Ethics;Bars;Lead","","","","5","IEEE","17 Jan 2011","","","IEEE","IEEE Conferences"
"Beyond control","P. Marsh",NA,Information Professional,"6 Nov 2009","2005","2","2","12","16","As industrial control systems get connected to the rest of the business, are they too close to hacker networks for comfort?","1743-694X","","10.1049/inp:20050202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5308780","","","","","","","","6 Nov 2009","","","IET","IET Magazines"
"Comparative Analysis of Machine Learning Models for Recidivism Prediction Based on Chi-square Test","Z. Zhang; Z. Huang; Z. Wan; L. Meng","East China Jiaotong University, Nanchang, Jiangxi, China; East China Jiaotong University, Nanchang, Jiangxi, China; East China Jiaotong University, Nanchang, Jiangxi, China; East China Jiaotong University, Nanchang, Jiangxi, China","2021 International Conference on Intelligent Computing, Automation and Applications (ICAA)","30 Dec 2021","2021","","","21","26","In order to excavate the influencing factors of recidivsim of the prisoners so as to achieve the purpose of prevention and redction of crime. This article proposes a feature selection method based on the experience of field experts and chi-square test, and uses the data from 2004 survey of inmates in state and federal correctional facilities as source, through data cleaning and data discretizes, and select five machine learning models for training and prediction respectively. Taking the accuracy rate, recall rate and values as evaluation indicators, compared the recidivism prediction capabilities of the five models. The results show that the feature selection method proposed in this paper can greatly impove the accuracy and recall rate of each model, and the logisitc regression model has a strong comprehensive ability.","","978-1-6654-3730-1","10.1109/ICAA53760.2021.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9653579","","Support vector machines;Radio frequency;Training;Analytical models;Correlation;Computational modeling;Machine learning","","","","8","IEEE","30 Dec 2021","","","IEEE","IEEE Conferences"
"Experimental Implementation of Quantum Prisoner Dilemma on IBM Quantum Computers","K. Xu; Z. Wu","Williston Northampton School, Easthampton, USA; Nanjing University of Aeronautics and Astronautics, Nanjing, China",2022 15th International Conference on Advanced Computer Theory and Engineering (ICACTE),"14 Nov 2022","2022","","","13","18","Theory of games is an important discipline of applied mathematics, which has found numerous applications in psychology, ecology, and social science. While a well-established framework has been established for classical game theory, extending, and generalizing it towards the quantum domain still has some open questions. In this project, we focus on the prisoner’s dilemma-a standard example of a game analyzed in game theory-in a quantum world. Here, we start with the quantum version of prisoner’s dilemma, explain the quantum circuit implementation for describing the behavior of quantum prisoners, and investigate how quantum entanglement can change their strategies. By using the IBM quantum computer, we experimentally study the quantum prisoner dilemma, and we conclude that the best quantum strategies will break the prisoner’s dilemma.","2154-7505","978-1-6654-8180-9","10.1109/ICACTE55855.2022.9943732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943732","quantum game theory;quantum circuit;prisoner’s dilemma;IBM Q","Quantum computing;Quantum entanglement;Psychology;Games;Mathematics;Quantum circuit;Game theory","","","","11","IEEE","14 Nov 2022","","","IEEE","IEEE Conferences"
"Time Jails: A Hybrid Approach to Scalable Network Emulation","A. Grau; S. Maier; K. Herrmann; K. Rothermel","Institute of Parallel and Distributed Systems (IPVS), University of Stuttgart, Stuttgart, Germany; Institute of Parallel and Distributed Systems (IPVS), University of Stuttgart, Stuttgart, Germany; Institute of Parallel and Distributed Systems (IPVS), University of Stuttgart, Stuttgart, Germany; Institute of Parallel and Distributed Systems (IPVS), University of Stuttgart, Stuttgart, Germany",2008 22nd Workshop on Principles of Advanced and Distributed Simulation,"20 Jun 2008","2008","","","7","14","It is essential to evaluate the performance of newly developed distributed software and network protocols. Network emulation enables reproducible evaluation of unmodified real implementations. Software built for distributed systems, such as a large scale peer-to-peer system, requires evaluation scenarios with thousands of communicating nodes. Two approaches for scaling network emulation to such scenario sizes have been proposed in the literature: node virtualization and time visualization. Node visualization allows maximizing the utilization of standard hardware used for emulation experiments. Time visualization enables trading experiment duration for visually increased resources of the hardware. It stands to reason that a combination of those two approaches may increase scalability even further. However, in existing combinations, either node visualization implies relatively high overhead or time virtualization requires modifications of the test subject implementation. In this paper, we present a novel hybrid approach called time visualized emulation environment (TVEE). It integrates node visualization with low overhead and time virtualization, which is transparent to the execution of test subjects. We introduce visual time based on epochs to enable better dynamic hardware utilization during long lasting experiments. Additionally, a mechanism similar to soft timers ensures an accurate reproduction of network properties in the time visualized emulation. Our evaluations show the accuracy and scalability of time visualized network emulation. Comparing TCP throughput, TVEE outperforms other approaches using an event based visual time by an order of magnitude.","1087-4097","978-0-7695-3159-5","10.1109/PADS.2008.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4545320","","Emulation;Visualization;Peer to peer computing;Hardware;Scalability;Testing;Software performance;Protocols;Communication system software;Large-scale systems","","29","","18","IEEE","20 Jun 2008","","","IEEE","IEEE Conferences"
"Educational Satellites: A Goal or Gaol?","L. P. Grayson","National Institute of Education, Washington D.C., DC, USA",IEEE Transactions on Education,"12 Nov 2007","1976","19","2","38","45","Human and social problems, as well as benefits are often a consequence of technological advances. There is no reason to believe that the application of satellites to education will not create similar consequences. In this paper, several issues of significance in the wide-spread application and use of satellites in education are discussed, including the implications for education and cultural change; the organizational problems in operating a major satellite-based educational system; financing the activities; and the need to aggregate the market in order to amortize large investments for equipment and production, while maintaining a diversity of educational offerings to satisfy local needs. In one sense, the basic difficulty in applying satellites to education is how to develop and apply techniques that can be highly effective, but which are economical only when applied on a mass basis, to insure that there is enough flexibility and variety so that education can be responsive to local needs and desires. The task is to apply satellites to education in order to improve the quality of education, reduce its cost, increase the availability of educational opportunity, and create possibilities for additional choice, yet do so without creating new problems that outweigh existing ones. This is the challenge to those who are making decisions about applying satellites to education that is raised in this paper.","1557-9638","","10.1109/TE.1976.4321035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4321035","","","","1","","38","IEEE","12 Nov 2007","","","IEEE","IEEE Journals"
"Legal Judgement Prediction via Contrastive Learning Based-Retrieval and Semantic Embedding","C. Wei; Q. Zhang; J. Xu; Y. Wang; Z. Huang; T. Hao","School of Computer Science, South China Normal University, GuangZhou, China; School of Computer Science, South China Normal University, GuangZhou, China; Big Data Rule of Law Research Institute, Nanjing University of Information Science & Technology, Nanjing, China; School of Law, South China Normal University, GuangZhou, China; School of Computer Science, South China Normal University, GuangZhou, China; School of Computer Science, South China Normal University, GuangZhou, China",2024 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),"26 Nov 2024","2024","","","1","6","Legal judgment prediction is a significant task in Legal Artificial Intelligence, aiming to predict judgment results based on fact descriptions automatically. The judgment output may include law articles, charges, prison terms, or combinations. Relevant legal cases with similar backgrounds or events should likewise be considered essential references for judgment, as they play an indispensable role in evaluating the prediction task. However, when applied to Chinese legal data, current methodologies often neglect the specialized preprocessing required for unique semantic attributes of Chinese, which affects their prediction performance. This paper proposes a novel contrastive learning- based model for legal judgment prediction named CLR-LJP to improve prediction performance. According to the legal judgment process in real life, law article prediction is converted as a multi- label classification task that includes both relative law cases and law articles. The CLR-LJP firstly converts fact descriptions, law articles, and charges into vectors by embedding Chinese semantics. Then, contrastive learning is introduced in retrieval training to distinguish the similar content of different label definitions. Finally, the role embedding method is applied to learn the interactions among multiple law articles to predict prison terms. Experiment results indicate that our CLR-LJP model achieves the best performance compared to the state-of-the-art models, especially in the task of prison term prediction.","2831-3410","979-8-3315-2300-8","10.1109/ISPCE-ASIA64773.2024.10756244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10756244","contrastive learning;retrieval;Chinese semantic;legal judgment prediction","Training;Knowledge engineering;Law;Semantics;Asia;Contrastive learning;Knowledge graphs;Predictive models;Vectors","","","","27","IEEE","26 Nov 2024","","","IEEE","IEEE Conferences"
"Intrusion Detection and Prevention System to Analyse and Prevent Malware using Machine Learning","V. Ebenezer; R. Devassy; G. J. W. Kathrine","Department of Computer Science and. Engineering, Karunya Institute of Technology and Sciences, Coimbatore, India; Department of Computer Science and. Engineering, Karunya Institute of Technology and Sciences, Coimbatore, India; Department of Computer Science and. Engineering, Karunya Institute of Technology and Sciences, Coimbatore, India",2023 7th International Conference on Trends in Electronics and Informatics (ICOEI),"24 May 2023","2023","","","581","590","Computer security has become a potential challenge for all of the studies that have been conducted in communication and information technology domain. In order to guarantee a degree of safety that satisfies the needs of contemporary living, several instruments and procedures have been developed Among them, Intrusion Detection and Prevention Systems (IDPS) frequently detects network attacks and vulnerable behaviours that can reduce the system's efficient operation. This study focuses on designing and implementing an IDPS using NIDS and Docker Jail system with the help of KDDCup 1999 Dataset. Dimension reduction is achieved using PCA. The project's classification algorithms are the supervised SVM and KNN algorithms. In order to stop the attack, a HoneyPot, preferably Artillery, is used in conjunction with the Docker jail system, which is based on the FreeBSD and BSD jail system.","","979-8-3503-9728-4","10.1109/ICOEI56765.2023.10125999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125999","Intrusion Detection and Prevention System;Network based Intrusion Detection System;Principal Component Analysis;Support Vector Machine;K-Nearest Neighbour;Docker jail system","Support vector machines;Machine learning algorithms;Instruments;Intrusion detection;Market research;Malware;Classification algorithms","","7","","24","IEEE","24 May 2023","","","IEEE","IEEE Conferences"
"Improved file system security through restrictive access","N. Kaur; M. Singh","Thapar University, Patiala, Punjab, IN; Computer Science and Engineering Department, Thapar University, Patiala, India",2016 International Conference on Inventive Computation Technologies (ICICT),"26 Jan 2017","2016","3","","1","5","Security is a prime concern in today's era of technology when dealing with digital data. All the information is managed by the file system which is the core layer of security in an Operating System. Due to lack of security at this layer, private information can be accessed by an intruder or in case of theft data can be read via mounting it on to a mount point and accessing the information. Other layer which is of similar importance is the Shell. “It is a command language interpreter that takes input from the standard input device and acts as an interface to execute commands”. Restricting shell access to minimal commands gives an extra level of security to the Operating System. If a shell is not restricted, intruder can gain access to the system and is able to execute all the commands. Shell is so powerful that intruder may control the whole system to execute the malicious code. In this paper, we propose a modular framework where one of the modules creates a secure and restrictive shell with minimal privileges given to any user, to execute a small set of commands and other module provides restrictive file system access.","","978-1-5090-1285-5","10.1109/INVENTIVE.2016.7830207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830207","restricted shell;chroot jail;system call;kernel","Security;File systems;Libraries;Kernel;Linux;Computers","","2","2","11","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
"Robustness of Large Language Models Against Adversarial Attacks","Y. Tao; Y. Shen; H. Zhang; Y. Shen; L. Wang; C. Shi; S. Du","Johns Hopkins University, Maryland, USA; University of Amsterdam, Amsterdam, Netherlands; University of California, San Diego, California, USA; Simon Fraser University, Canada; Duke University, North Carolina, USA; University of California, San Diego, California, USA; University of Amsterdam, Amsterdam, Netherlands","2024 4th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)","4 Mar 2025","2024","","","182","185","The increasing deployment of Large Language Models (LLMs) in various applications necessitates a rigorous evaluation of their robustness against adversarial attacks. In this paper, we present a comprehensive study on the robustness of GPT LLM family. We employ two distinct evaluation methods to assess their resilience. The first method introduces character-level text attack in input prompts, testing the models on three sentiment classification datasets: StanfordNLP/IMDB, Yelp Reviews, and SST-2. The second method involves using jailbreak prompts to challenge the safety mechanisms of the LLMs. Our experiments reveal significant variations in the robustness of these models, demonstrating their varying degrees of vulnerability to both character-level and semantic-level adversarial attacks. These findings underscore the necessity for improved adversarial training and enhanced safety mechanisms to bolster the robustness of LLMs.","","979-8-3315-3122-5","10.1109/ICAIRC64177.2024.10900215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10900215","robustness;text attack;jail break attack;sentiment classification;large language model","Training;Adaptation models;Reviews;Large language models;Robustness;Safety;Robots;Resilience;Testing;Context modeling","","","","18","IEEE","4 Mar 2025","","","IEEE","IEEE Conferences"
"Fundamental Limits on Ex-Post Enforcement and Implications for Spectrum Rights","V. Muthukumar; A. Sahai","BLISS, EECS, University of California at Berkeley, Berkeley, CA, USA; BLISS, EECS, University of California at Berkeley, Berkeley, CA, USA",IEEE Transactions on Cognitive Communications and Networking,"6 Oct 2017","2017","3","3","491","504","The combination of emerging new communication technologies, economic growth, and limited amounts of available spectrum necessitate dynamic tiered sharing. This paper builds on the “spectrum jails” paradigm-a model for light-handed expost enforcement. We consider the situation of sharing spectrum between a single primary (higher-tier) user and a single secondary (lower-tier) user. Analyzing this as a two-player game that could be played Stackelberg or simultaneous, we examine what kinds of primary and secondary rights can be credibly enforced. We show that the primary can trust that it will be protected from too much harmful interference and we show how the regulator can set the ex-post enforcement parameters to do this no matter which secondary user becomes capable of using the band. It is impossible to give a universal guarantee to all secondary users that the primary will never make false reports (“cry wolf”) against them. However, it is possible to show that “compatible” secondary users will trust that the primary user will not make false reports against them when the spectrum opportunity is sufficiently attractive for secondary users.","2332-7731","","10.1109/TCCN.2017.2747579","NSF EARS program(grant numbers:(AST-1444078)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8023877","Wireless spectrum;radio spectrum management;cognitive radio;criminal law;law enforcement;spectrum regulation;enforcement game;coexistence","Interference;Games;Economics;Regulators;Performance evaluation;Licenses;Real-time systems","","2","","56","IEEE","31 Aug 2017","","","IEEE","IEEE Journals"
"A prison guard Duress alarm location system","Christ; Godwin; Lavigne","HDS, Inc., Reston, VA, USA; HDS, Inc., Reston, VA, USA; Correctional Service, Canada",1993 Proceedings of IEEE International Carnahan Conference on Security Technology,"6 Aug 2002","1993","","","106","116","The authors discuss concepts used in developing the CSC (Correctional Services Canada) Duress Alarm Location System (DALS). A block diagram and theory of operation for the system are presented. A sample data and test results for an actual test installation are presented and analyzed. It is concluded that the DALS is able to acknowledge and locate a duress alarm within an indoor environment with useful precision and reliability.<>","","0-7803-1479-4","10.1109/CCST.1993.386816","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=386816","","Protection/safety;Hazardous areas","","26","26","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Gamifying the Escape from the Engineering Method Prison","K. -K. Kemell; J. Risku; A. Evensen; P. Abraharnsson; A. M. Dahl; L. H. Grytten; A. Jcdryszek; P. Rostrup; A. Nguyen-Duc","Faculty of Information Technology, University of Jyväskylä (JYU), Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä (JYU), Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä (JYU), Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä (JYU), Jyväskylä, Finland; Faculty of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Faculty of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Faculty of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Faculty of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Department of Business and IT, University of Southeast Norway, Norway","2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)","16 Aug 2018","2018","","","1","9","Software Engineering is an engineering discipline but lacks a solid theoretical foundation. One effort in remedying this situation has been the SEMAT Essence specification. Essence consists of a language for modeling Software Engineering (SE) practices and methods and a kernel containing what its authors describe as being elements that are present in every software development project. In practice, it is a method agnostic project management tool for SE Projects. Using the language of the specification, Essence can be used to model any software development method or practice. Thus, the specification can potentially be applied to any software development context, making it a powerful tool. However, due to the manual work and the learning process involved in modeling practices with Essence, its initial adoption can be tasking for development teams. Due to the importance of project management in SE projects, new project management tools such as Essence are valuable, and facilitating their adoption is consequently important. To tackle this issue in the case of Essence, we present a game-based approach to teaching the use Essence. In this paper, we gamify the learning process by means of an innovative board game. The game is empirically validated in a study involving students from the IT faculty of University of Jyvaskyla (n=61). Based on the results, we report the effectiveness of the game-based approach to teaching both Essence and SE project work.","","978-1-5386-1469-3","10.1109/ICE.2018.8436340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8436340","software engineering practices;SEMAT;essence;software engineering methods;project management;serious game;game-based learning","Games;Kernel;Tools;Software engineering;Task analysis;Organizations","","5","","21","IEEE","16 Aug 2018","","","IEEE","IEEE Conferences"
"Breaking free from your information prison: A recommender based on semantically enriched context descriptions","J. Lutz; B. Thönssen; H. F. Witschel","University of Applied Sciences and Arts Northwestern Switzerland, FHNW, Olten, Switzerland; University of Applied Sciences and Arts Northwestern Switzerland, FHNW, Olten, Switzerland; University of Applied Sciences and Arts Northwestern Switzerland, FHNW, Olten, Switzerland",Proceedings of the First International Conference on Enterprise Systems: ES 2013,"23 Dec 2013","2013","","","1","9","Information repositories, implemented as Enterprise Portals (EP) on the intranet, are increasingly popular in companies of all sizes. Enterprise Portals allow for structuring information in a way that resembles the organization of paper copies, i.e. simulating folders and registries and furthermore, provide simple routines for publishing and collaborating. Hence, in general, such kind of information management is not much different from paper management: electronic documents must be uploaded into the Enterprise Portal manually, filed into folders (which have to be created manually, too), tagged and related to other information objects if need be. With this approach information structuring remains subject to the individual user leading to the well-known problems of multiple filing, overlooking relevant information and incomprehensible folder structure. The SEEK!sem project aims at improving such kind of information system by automatically identifying and recommending related information resources to be added to a folder. The recommendations are based on rules, exploiting content and context similarity of information resources. Rules can be created upfront, based on explicitly defined relations between information objects. They can also be machine learned, i.e. the recommender exploits the existing linkage between documents, folders and other objects to learn “relatedness rules”. In either case, potential new connections are inferred by applying the rules in a reasoning step. Recommended new connections are ranked by the sum of the scores of all applied rules - the rule scores, again, can either be provided by experts or machine-learned. The applied rules can serve as an explanation of a recommendation, i.e. they can assist users in understanding why a particular connection is suggested.","","978-1-4673-6412-6","10.1109/ES.2013.6690092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6690092","information management;similarity;machine learning;context","Context;Abstracts;Information management;Information services;Ontologies;Portals","","1","","27","IEEE","23 Dec 2013","","","IEEE","IEEE Conferences"
"Kerckhoffs in Prison: A Study of the Steganalyst’s Knowledge","M. Beneš; R. Böhme",Universität Innsbruck; Universität Innsbruck,2024 IEEE International Workshop on Information Forensics and Security (WIFS),"27 Dec 2024","2024","","","1","6","The goal of a steganalyst is to distinguish stego objects sent by a steganographer with a secret message hidden inside from cover objects with no meaningful message. The steganalyst is only as good as her knowledge of the sender’s choices during the embedding. To create a security margin for the real world, security definitions often borrow Kerckhoffs, principle, i.e., they assume that the attacker knows the system. However, a strict interpretation of the principle, “only the key is secret,” does not apply to steganography because a public cover would compromise security. In this paper, we study two interpretations of Kerckhoffs’ principle for steganography using a conceptual framework of the steganalyst’s knowledge. The framework connects both interpretations and encompasses other existing notions of knowledge in the literature. Viewing access to the cover as a side-channel attack allows us to adapt Kerckhoffs’ principle to Simmons’ prisoners’ problem.","2157-4774","979-8-3503-6442-2","10.1109/WIFS61860.2024.10810682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10810682","steganalysis;Kerckhoffs’principle;prisoners’problem;cover-source mismatch;side channel","Steganography;Forensics;Conferences;Side-channel attacks;Security","","","","53","IEEE","27 Dec 2024","","","IEEE","IEEE Conferences"
"Prison Break of Android Reflection Restriction and Defense","Z. Ling; R. Liu; Y. Zhang; K. Jia; B. Pearson; X. Fu; L. Junzhou","School of Computer Science and Engineering, Southeast University; School of Computer Science and Engineering, Southeast University; Department of Computer Science, University of Massachusetts Lowell, Lowell, MA, USA; School of Computer Science and Engineering, Southeast University; Department of Computer Science, Jinan University; Department of Computer Science, University of Massachusetts Lowell, Lowell, MA, USA; School of Computer Science and Engineering, Southeast University",IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,"26 Jul 2021","2021","","","1","10","Java reflection technique is pervasively used in the Android system. To reduce the risk of reflection abuse, Android restricts the use of reflection at the Android Runtime (ART) to hide potentially dangerous methods/fields. We perform the first comprehensive study of the reflection restrictions and have discovered three novel approaches to bypass the reflection restrictions. Novel reflection-based attacks are also presented, including the password stealing attack. To mitigate the threats, we analyze these restriction bypassing approaches and find three techniques crucial to these approaches, i.e., double reflection, memory manipulation, and inline hook. We propose a defense mechanism that consists of classloader double checker, ART variable protector, and ART method protector, to prohibit the reflection restriction bypassing. Finally, we design and implement an automatic reflection detection framework and have discovered 5,531 reflection powered apps out of 100,000 downloaded apps, which are installed on our defense enabled Android system of a Google Pixel 2 to evaluate the effectiveness and efficiency of our defense mechanism. Extensive empirical experiment results demonstrate that our defense enabled system can accurately obstruct the malicious reflection attempts.","2641-9874","978-1-6654-0325-2","10.1109/INFOCOM42981.2021.9488788","National Science Foundation; National Natural Science Foundation of China; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488788","Android reflection restrictions;Reflection-based attack;Countermeasures;Large-scale analysis","Java;Runtime;Conferences;Subspace constraints;Reflection;Internet;Security","","","","28","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
